window_id,block_start,block_end,mev_intensity,mev_regime,modularity,spectral_gap,eff_connectivity,avg_path_length,giant_component_pct,avg_eff_resistance,volatility,gas_price_gwei,volume_usd_m,active_pools,nodes,edges,avg_slippage_pct,avg_route_hops,failed_routes_pct,median_exec_cost_usd,hhi_builders,data_source
47,22170000,22180000,0.31122359809426126,medium,0.2032787898317072,0.03882691297929564,0.9578313253012049,2.4939376626674283,0.9888888888888889,0.0,0.07026830165143587,0.5307615322,387.43097107325036,222,180,198,0.4791122725617704,2.5966050910937595,0.0,25.77475196140622,0.281197305700945,real
48,22180000,22190000,0.3120026528099775,medium,0.19042361165385643,0.041940875315343525,0.9578313253012049,2.4939376626674283,0.9888888888888889,0.0,0.03962717201783963,2.1999674794,387.43097107325036,222,180,198,0.46818537111059727,2.5966050910937595,0.0,25.266741556600255,0.2951684680161478,real
49,22190000,22200000,0.32675360431946954,medium,0.19529170191248765,0.032464126349023584,0.9578313253012049,2.4939376626674283,0.9888888888888889,0.0,0.04014496407266961,0.7262553371999999,387.43097107325036,222,180,198,0.4723232478304338,2.5966050910937595,0.0,25.459118548089975,0.28272881381245457,real
50,22200000,22210000,0.3249150972062021,medium,0.1925063651461116,0.02877547908118702,0.9578313253012049,2.4939376626674283,0.9888888888888889,0.0,0.043502582600160745,0.41347098839999996,387.43097107325036,222,180,198,0.4699557115790141,2.5966050910937595,0.0,25.34904772381734,0.28863962084318034,real
51,22210000,22220000,0.363282967554908,medium,0.2143779291320082,0.04613095888758245,0.9538152610441767,2.4989642834724752,0.988950276243094,0.0,0.04393344259577758,3.7580198554000006,387.43097107325036,223,181,199,0.4891489506055805,2.599419998744586,0.0,26.241374351909773,0.3142518337971194,real
52,22220000,22230000,0.5084971011560342,high,0.21687415313918154,0.046130181895494865,0.9538152610441767,2.4989642834724752,0.988950276243094,0.0,0.04268598845521008,0.7237789739999998,387.43097107325036,223,181,199,0.4912707410116778,2.599419998744586,0.0,26.34002003000355,0.30968416586674363,real
53,22230000,22240000,0.5295108016265628,high,0.21823115540189814,0.04197459264227621,0.9538152610441767,2.4989642834724752,0.988950276243094,0.0,0.02695423969575722,2.0859374652,387.43097107325036,223,181,199,0.4924241929349869,2.599419998744586,0.0,26.393645989851628,0.35221418415990613,real
54,22240000,22250000,0.5380814646834444,high,0.22149851200269335,0.04366714660712532,0.9538152610441767,2.4989642834724752,0.988950276243094,0.0,0.027469122834745015,0.7268740607999999,387.43097107325036,223,181,199,0.49520144604566285,2.599419998744586,0.0,26.522765254201875,0.3511214062445939,real
55,22250000,22260000,0.6017688757785811,high,0.22271264341819808,0.07429241621549054,0.9538152610441767,2.4989642834724752,0.988950276243094,0.0,0.027880039890530166,0.6617868104,387.43097107325036,223,181,199,0.49623345774884187,2.599419998744586,0.0,26.570745249760467,0.3715412148641322,real
56,22260000,22270000,0.7184455064379839,high,0.20264835826697558,0.08824022642504667,0.9678714859437751,2.4989642834724752,0.988950276243094,0.0,0.027335962168838455,1.6892915087999998,387.43097107325036,223,181,199,0.4770703816353629,2.599419998744586,0.0,25.679820947272976,0.429123935038393,real
